Quadrat 1,Quadrat 2,Quadrat 3,Quadrat 4,Quadrat 5
1,0,0,0,14
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,11
0,0,3,1,0
0,0,10,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10,0,0,0,0
10,80,0,0,150
10,0,0,10,10
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10,0,0
30,120,150,90,0
130,80,30,110,10
0,0,0,0,0
0,0,0,0,0
0,0,1,0,9
0,0,0,0,0
0,0,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,4,0,0
0,0,0,0,0
0,0,0,0,0
4,0,3,0,0
0,0,0,0,0
0,0,0,0,16
0,0,0,0,12
0,0,22,0,1
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,50,0
8,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
27,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,8,0,0,1
0,0,0,0,0
5,14,36,0,0
0,0,0,0,0
0,0,0,143,1
0,0,0,0,0
0,0,1,90,0
0,0,0,0,0
0,0,0,20,50
0,0,0,60,0
0,0,0,0,10
0,0,0,0,0
10,60,0,30,10
0,0,30,0,18
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,8
0,0,0,60,0
0,0,0,0,0
0,0,0,0,0
0,0,0,10,0
0,0,0,10,0
0,0,0,0,0
0,0,0,0,4
0,0,0,0,0
0,0,0,10,0
8,4,0,0,0
0,0,0,0,0
0,0,0,0,0
5,0,23,0,0
0,0,0,0,0
0,0,0,0,4
0,0,4,0,0
130,160,110,110,0
0,0,0,0,0
3,0,0,0,0
0,0,0,0,0
0,0,10,10,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,3,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,20,10,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,5,0,1
0,0,35,0,0
0,0,1,0,0
0,0,0,0,0
1,0,0,0,52
0,0,0,0,0
0,0,110,0,0
28,0,0,0,0
0,0,0,0,0
0,0,0,0,0
