Quadrat 1,Quadrat 2,Quadrat 3,Quadrat 4,Quadrat 5,Quadrat 6,Quadrat 7,Quadrat 8,Quadrat 9,Quadrat 10,Quadrat 11
4,0,127,0,32,0,0,0,0,0,0
0,0,0,0,0,0,1,5,0,0,0
0,0,0,0,0,8,0,0,0,5,0
4,6,1,0,6,0,0,2,0,0,4
0,0,0,0,0,0,0,2,0,0,0
0,30,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,0
0,0,138,9,8,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,30,20,110,0,0,10,0,0,0,0
0,0,0,0,0,0,120,40,0,0,0
0,0,0,0,0,0,0,0,2,0,5
0,0,0,0,0,0,0,14,1,0,0
0,0,1,2,1,0,1,0,0,0,0
0,0,0,0,0,0,54,15,0,0,0
0,0,0,0,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,25,0,6
0,0,14,0,0,0,0,7,2,1,4
66,0,0,0,2,0,0,0,0,0,0
0,19,1,39,2,54,42,19,22,41,44
0,87,88,0,1,0,0,0,0,2,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
0,55,0,50,3,169,10,30,0,82,4
0,5,1,25,2,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,22
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,42,0,0,0,0
18,0,0,0,30,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,12,0,1,3,2,0,0,2,0,24
0,0,0,0,0,85,2,0,2,5,0
0,67,18,31,12,140,0,14,2,98,17
3,3,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,153,0,0,0
0,0,0,0,0,0,0,0,1,0,0
22,0,0,0,4,0,0,0,3,0,14
0,0,0,0,3,0,1,3,0,0,3
0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,37,1,0,0,2
0,0,0,0,0,0,2,0,5,0,0
0,0,0,0,160,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,34,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0
2,0,1,0,0,0,0,0,4,0,6
8,64,22,8,2,0,2,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,0,4,17,0,0,2,0,0,0,0
0,0,0,0,3,0,0,123,1,0,0
