Quadrat_1,Quadrat_2,Quadrat_3,Quadrat_4,Quadrat_5
0,9,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
81,18,8,82,55
0,0,0,0,0
0,0,0,0,0
0,0,0,2,42
0,0,0,0,10
0,0,0,0,0
1,0,8,16,0
0,0,12,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10,0,0
0,0,10,0,0
0,10,0,0,0
0,0,0,0,0
0,0,10,10,30
0,20,0,0,30
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,6,0,0,0
0,0,0,0,0
0,0,10,0,0
0,0,0,0,0
0,0,0,0,0
4,0,0,1,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30,20,0,10,16
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,0,6,0,1
0,0,0,0,0
0,0,0,0,0
0,5,0,0,0
0,0,0,0,0
0,0,10,0,0
0,0,10,0,0
0,0,0,0,0
67,38,65,117,68
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30,80,0,28,36
0,0,0,0,0
0,0,0,0,0
50,80,110,160,90
11,24,2,4,1
0,10,60,10,20
0,0,0,0,0
0,20,0,0,120
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20,15,0,7,1
0,0,0,0,0
0,0,0,0,0
0,0,10,0,0
69,120,92,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13,0,0,22,36
110,10,0,0,120
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,40,0,0,0
0,0,0,0,0
1,0,2,0,0
40,0,150,150,90
0,0,0,0,0
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
160,0,30,150,30
20,0,0,20,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,30,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,20,0,0
0,0,0,0,0
